lat,lon,count_A,count_B,count_C,location
36.1758,117.1081,5,47,0,电力学校
36.283,120.008,1,0,0,胶州环保局
35.785665,-115.357087,27,25,0,Jean
36.206699,-95.976402,12,40,0,Tulsa
36.1797,-94.1167,26,26,0,SPRNGDLE
35.912487,-82.062082,13,39,0,Spruce Pine
35.856098,-78.574203,19,13,0,Millbrook NCore
35.494556,-120.666203,15,37,0,Atascadero2
35.356667,-119.062778,5,11,0,Bakersfield - Califo
35.0186,-106.651901,20,32,0,South Valley
35.32,-97.4883,17,35,0,Moore
35.151588,-89.85022,14,36,0,SHELBY FARMS
35.1158,-87.47,2,0,0,LAWRENCE
34.9789,-85.3009,13,39,0,Rossville
34.2572,109.06,5,47,0,纺织城
34.3474,108.935,10,42,0,经开区
34.6869,112.4664,12,40,0,豫西宾馆
34.5667,117.732,9,43,0,台儿庄区环保局
34.8416,-118.8647,16,36,0,Lebec
34.243889,-113.558611,39,13,0,Alamo Lake
34.820556,-89.987778,8,43,0,HERNANDO
33.8715,109.9154,26,26,0,监测站
33.8471,109.9643,34,18,0,商州区中学
33.666,116.951,10,42,0,远航博物馆(181204启用)
33.3947,120.225,8,44,0,开发区管委会
34.066429,-118.226755,16,36,0,Los Angeles - N. Mai
33.792221,-118.175278,6,46,0,South Long Beach
33.4033,-112.0731,3,49,0,South Phoenix
33.4333,-82.0219,35,17,0,Augusta
33.3261,105.0822,11,41,0,汉王镇固水子
32.6975,109.0072,6,46,0,汉滨区检察院
32.8603,115.8556,9,43,0,开发区
32.789561,-116.944222,3,49,0,El Cajon - Lexington
32.6336,-115.5042,47,4,0,Colegio de Bachiller
32.791,-79.959,1,34,0,Charleston Public Wo
32.807778,-16.886389,17,35,0,PT06008
31.9025,102.2218,28,24,0,州监测站
31.87888889,106.7513889,13,39,0,苏山坪
32.395,111.0419,40,12,0,武当山
32.3153,118.3094,3,49,0,老年大学
32.2786,118.3244,14,38,0,人大宾馆
31.882,120.55,2,50,0,城北小学
32.346905,-90.225928,24,28,0,Hinds CC
31.1956,107.5069,6,46,0,达县机关宾馆
31.6861,118.5058,4,48,0,湖东路四小
31.1907,121.703,1,51,0,浦东川沙
31.337204,-110.936722,38,14,0,Nogales Post Office
31.7467,-106.402802,29,23,0,Ascarate Park Southe
30.649961,76.331442,7,25,0,RIMT University, Mandi Gobindgarh - PPCB
31.0283,103.613,14,38,0,灵岩寺
30.63,104.07,37,15,0,Chengdu
30.6872,104.176,1,51,0,十里店
30.6133,105.68,9,43,0,市监测站
30.6347,105.8161,6,46,0,行政中心
30.698,111.2992,8,44,0,白龙岗
31.0483,112.2014,8,44,0,竹园小学
29.6747,91.1221,17,35,0,市环保局
29.9972,101.9533,10,42,0,州环保局
29.8272,106.379,14,39,0,缙云山
30.2997,113.8531,13,39,0,沉湖七壕
30.2352,115.0625,4,48,0,沈家营
30.2028,115.0767,6,46,0,陈家湾
29.7292,115.988,19,33,0,西园
29.7207,118.3236,8,44,0,黄山东路89号
29.719,120.251,7,31,0,图书馆
29.9558,122.3094,19,33,0,普陀东港
30.3542,-97.760002,3,48,1,Austin Northwest C3
29.9011,-95.3261,1,17,0,Houston Aldine C8
29.9431,-89.9761,18,30,0,Chalmette Vista
29.5467,103.7705,3,49,0,花湖湾
29.5844,103.7627,3,49,0,牛耳桥
29.3628,104.7547,46,6,0,大塘山
29.4822,106.364,1,48,0,白市驿
29.1389,110.48,16,36,0,永定新区
29.0289,111.7153,4,48,0,武陵区永安(启用171130)
29.5867,115.9936,22,30,0,庐山气象台(对照点)
28.9404,118.871,25,27,0,环保大楼
29.305,120.091,3,44,0,江东
29.334,120.04,5,42,0,北苑
28.699793,77.165453,4,25,0,Wazirpur, Delhi - DPCC
28.7256504,77.2011573,7,16,0,Burari Crossing, Delhi - IMD
28.422681,77.148944,4,25,0,NISE Gwal Pahari, Gurugram - IMD
28.725645,77.749675,10,10,0,Anand Vihar, Hapur - UPPCB
28.825341,78.7213009,11,17,0,Lajpat Nagar, Moradabad - UPPCB
28.7989,104.6789,4,14,0,沙坪中学
28.6047,112.3347,22,30,0,资阳区政务中心
28.6844,115.893,23,29,0,省外办
27.8953,102.2311,24,28,0,长安
27.7019,106.9242,1,51,0,凤凰山
27.583,110.0394,17,35,0,市委党校
27.4948,114.0944,51,1,0,武功山气象站
27.9747,120.76,4,48,0,龙湾
27.779712,-82.419835,4,48,0,APOLLO BEACH
28.0036449995539,-15.411851,1,48,0,ES1919A
